id,gid,x,y,v_x,v_y,radius,time
0,0,9.655940,0.383299,-1.137990,-0.091079,0.200000,0.600000
1,0,11.996414,0.609848,-1.414754,0.108533,0.200000,0.600000
2,0,7.088666,-0.251769,-0.880155,-0.581846,0.200000,0.600000
3,0,6.262635,-0.920762,-1.159161,-0.100916,0.200000,0.600000
4,0,8.366709,0.840991,-1.171482,0.100996,0.200000,0.600000
5,0,4.993118,-0.117710,-0.646036,-1.431135,0.200000,0.600000
6,0,13.012809,-1.014051,-1.299911,0.052771,0.200000,0.600000
7,0,10.404717,-0.167246,-1.134630,-0.201718,0.200000,0.600000
8,0,12.710794,-0.506844,-1.263414,0.038816,0.200000,0.600000
9,0,7.676326,-0.276788,-0.890948,0.294606,0.200000,0.600000
10,0,6.706033,0.170418,-0.287414,0.247252,0.200000,0.600000
11,0,14.406062,-0.690974,-1.163607,0.037476,0.200000,0.600000
12,0,12.956194,0.556811,-1.142449,-0.085253,0.200000,0.600000
13,0,8.209433,0.269500,-1.075595,0.177768,0.200000,0.600000
14,0,6.161973,-0.380870,-1.180324,0.005930,0.200000,0.600000
15,0,13.082034,1.028152,-0.993164,0.082294,0.200000,0.600000
16,0,5.643045,0.116371,-1.278930,-0.005225,0.200000,0.600000
17,0,6.523679,1.012126,-0.466040,0.174386,0.200000,0.600000
18,0,9.072034,-0.556998,-1.082389,0.092273,0.200000,0.600000
19,0,6.842336,-0.868539,-1.209612,0.120317,0.200000,0.600000
20,1,7.258427,7.293036,-0.143556,-1.080228,0.200000,0.600000
21,1,8.163654,-4.736847,-0.509853,-0.955046,0.200000,0.600000
22,1,7.120136,1.885753,-0.221627,-1.093218,0.200000,0.600000
23,1,8.966650,-3.646422,-0.296097,-1.199220,0.200000,0.600000
24,1,5.369188,5.104336,0.496579,-0.948531,0.200000,0.600000
25,1,8.282118,-2.739348,-0.238286,-1.139355,0.200000,0.600000
26,1,6.827173,6.113734,-0.091669,-0.945903,0.200000,0.600000
27,1,5.208443,0.981117,0.115081,-0.678868,0.200000,0.600000
28,1,4.807973,2.423708,0.166246,-0.734544,0.200000,0.600000
29,1,4.601076,0.066178,-0.478974,-1.330638,0.200000,0.600000
30,1,7.760252,3.078937,0.569649,-0.909585,0.200000,0.600000
31,1,7.244261,-5.056612,-0.081004,-1.363430,0.200000,0.600000
32,1,5.687829,1.588558,-0.105546,-1.469790,0.200000,0.600000
33,1,7.907820,4.826828,-0.110004,-1.096494,0.200000,0.600000
34,1,4.967474,6.352836,0.061736,-0.823401,0.200000,0.600000
35,1,9.198103,3.167953,-0.225357,-1.360654,0.200000,0.600000
36,1,6.244889,3.698110,-0.022366,-1.456436,0.200000,0.600000
37,1,8.603971,3.618523,-0.029831,-0.781568,0.200000,0.600000
38,1,9.162422,4.284152,-0.035645,-1.067161,0.200000,0.600000
39,1,6.714637,8.239383,0.032690,-1.281363,0.200000,0.600000
