id,gid,x,y,v_x,v_y,radius,time
1,1,4.553357,4.508447,-0.798121,-0.817418,0.500000,1.400000
2,2,0.087790,5.894419,0.083584,-1.559036,0.500000,1.400000
3,3,-4.297548,4.503406,0.894242,-0.775532,0.500000,1.400000
4,4,-6.549606,-0.034998,0.876311,0.141365,0.500000,1.400000
5,5,-4.289231,-4.056609,1.001602,1.145314,0.500000,1.400000
6,6,0.062431,-6.136136,-0.163326,1.209848,0.500000,1.400000
7,7,4.628899,-4.637614,-0.776977,0.515601,0.500000,1.400000
0,0,5.927366,-0.078021,-1.309334,-0.000654,0.500000,1.500000
1,1,4.466133,4.423746,-0.872241,-0.847011,0.500000,1.500000
2,2,0.091852,5.737945,0.040611,-1.564738,0.500000,1.500000
3,3,-4.200161,4.419108,0.973868,-0.842987,0.500000,1.500000
4,4,-6.441193,-0.032375,1.084125,0.026227,0.500000,1.500000
5,5,-4.178162,-3.956243,1.110684,1.003657,0.500000,1.500000
6,6,0.045935,-6.016289,-0.164964,1.198470,0.500000,1.500000
7,7,4.554107,-4.564228,-0.747921,0.733864,0.500000,1.500000
0,0,5.799886,-0.088532,-1.274794,-0.105116,0.500000,1.600000
1,1,4.392295,4.327073,-0.738373,-0.966727,0.500000,1.600000
2,2,0.082102,5.578792,-0.097495,-1.591530,0.500000,1.600000
3,3,-4.096490,4.331531,1.036708,-0.875764,0.500000,1.600000
4,4,-6.325847,-0.026152,1.153465,0.062231,0.500000,1.600000
5,5,-4.080993,-3.851519,0.971693,1.047240,0.500000,1.600000
6,6,0.024152,-5.895626,-0.217825,1.206623,0.500000,1.600000
7,7,4.471732,-4.486647,-0.823748,0.775807,0.500000,1.600000
0,0,5.664556,-0.084323,-1.353301,0.042095,0.500000,1.700000
1,1,4.313820,4.236568,-0.784751,-0.905055,0.500000,1.700000
2,2,0.072206,5.416413,-0.098966,-1.623793,0.500000,1.700000
3,3,-3.992976,4.243239,1.035140,-0.882923,0.500000,1.700000
4,4,-6.213608,-0.026382,1.122385,-0.002300,0.500000,1.700000
5,5,-3.972679,-3.749220,1.083146,1.022992,0.500000,1.700000
6,6,0.015891,-5.768883,-0.082615,1.267435,0.500000,1.700000
7,7,4.395798,-4.419036,-0.759340,0.676112,0.500000,1.700000
0,0,5.533491,-0.092930,-1.310652,-0.086069,0.500000,1.800000
1,1,4.236518,4.143016,-0.773021,-0.935516,0.500000,1.800000
2,2,0.074475,5.266396,0.022697,-1.500175,0.500000,1.800000
3,3,-3.881571,4.158189,1.114050,-0.850502,0.500000,1.800000
4,4,-6.084011,-0.019685,1.295966,0.066970,0.500000,1.800000
5,5,-3.873743,-3.642822,0.989360,1.063983,0.500000,1.800000
6,6,0.018292,-5.645791,0.024015,1.230920,0.500000,1.800000
7,7,4.319851,-4.354440,-0.759476,0.645960,0.500000,1.800000
0,0,5.386176,-0.097922,-1.473149,-0.049925,0.500000,1.900000
1,1,4.173483,4.040811,-0.630355,-1.022051,0.500000,1.900000
2,2,0.073007,5.101526,-0.014680,-1.648699,0.500000,1.900000
3,3,-3.753618,4.088963,1.279528,-0.692253,0.500000,1.900000
4,4,-5.966683,-0.017712,1.173284,0.019734,0.500000,1.900000
5,5,-3.772401,-3.506871,1.013416,1.359507,0.500000,1.900000
6,6,0.018378,-5.517801,0.000858,1.279897,0.500000,1.900000
7,7,4.258444,-4.271874,-0.614066,0.825660,0.500000,1.900000
0,0,5.245833,-0.083292,-1.403431,0.146299,0.500000,2.000000
1,1,4.106466,3.944199,-0.670165,-0.966117,0.500000,2.000000
2,2,0.056644,4.943611,-0.163637,-1.579142,0.500000,2.000000
3,3,-3.651256,4.012944,1.023622,-0.760193,0.500000,2.000000
4,4,-5.844279,-0.001375,1.224044,0.163366,0.500000,2.000000
5,5,-3.673093,-3.391285,0.993078,1.155861,0.500000,2.000000
6,6,0.017846,-5.397155,-0.005326,1.206462,0.500000,2.000000
7,7,4.181079,-4.190732,-0.773652,0.811425,0.500000,2.000000
0,0,5.117310,-0.077989,-1.285228,0.053034,0.500000,2.100000
1,1,4.039056,3.863476,-0.674099,-0.807233,0.500000,2.100000
2,2,0.055869,4.806316,-0.007744,-1.372953,0.500000,2.100000
3,3,-3.536077,3.934296,1.151795,-0.786485,0.500000,2.100000
4,4,-5.724564,0.006405,1.197149,0.077800,0.500000,2.100000
5,5,-3.576718,-3.295338,0.963755,0.959470,0.500000,2.100000
6,6,0.013747,-5.272102,-0.040986,1.250533,0.500000,2.100000
7,7,4.111964,-4.133330,-0.691150,0.574017,0.500000,2.100000
0,0,4.983680,-0.064732,-1.336306,0.132568,0.500000,2.200000
1,1,3.961374,3.785287,-0.776824,-0.781887,0.500000,2.200000
2,2,0.060018,4.652269,0.041491,-1.540472,0.500000,2.200000
3,3,-3.450095,3.842231,0.859820,-0.920649,0.500000,2.200000
4,4,-5.607411,0.005102,1.171522,-0.013031,0.500000,2.200000
5,5,-3.454503,-3.198668,1.222150,0.966699,0.500000,2.200000
6,6,0.018493,-5.161942,0.047462,1.101599,0.500000,2.200000
7,7,4.041288,-4.067562,-0.706754,0.657678,0.500000,2.200000
0,0,4.841181,-0.060160,-1.424988,0.045717,0.500000,2.300000
1,1,3.894956,3.692291,-0.664173,-0.929957,0.500000,2.300000
2,2,0.045768,4.492472,-0.142500,-1.597973,0.500000,2.300000
3,3,-3.354435,3.749425,0.956602,-0.928056,0.500000,2.300000
4,4,-5.504857,0.004267,1.025545,-0.008352,0.500000,2.300000
5,5,-3.340697,-3.094465,1.138053,1.042030,0.500000,2.300000
6,6,0.022687,-5.044931,0.041942,1.170109,0.500000,2.300000
7,7,3.977810,-4.011306,-0.634787,0.562566,0.500000,2.300000
0,0,4.700770,-0.052070,-1.404108,0.080904,0.500000,2.400000
1,1,3.813884,3.606933,-0.810728,-0.853582,0.500000,2.400000
2,2,0.045843,4.340768,0.000747,-1.517036,0.500000,2.400000
3,3,-3.252707,3.657475,1.017275,-0.919501,0.500000,2.400000
4,4,-5.389762,0.005654,1.150951,0.013875,0.500000,2.400000
5,5,-3.233285,-3.001343,1.074124,0.931219,0.500000,2.400000
6,6,0.031705,-4.913443,0.090177,1.314883,0.500000,2.400000
7,7,3.901070,-3.939396,-0.767393,0.719091,0.500000,2.400000
0,0,4.564685,-0.075647,-1.360851,-0.235769,0.500000,2.500000
1,1,3.733017,3.511999,-0.808663,-0.949338,0.500000,2.500000
2,2,0.048803,4.191647,0.029606,-1.491214,0.500000,2.500000
3,3,-3.162802,3.556735,0.899050,-1.007400,0.500000,2.500000
4,4,-5.270329,-0.001815,1.194331,-0.074689,0.500000,2.500000
5,5,-3.122684,-2.895580,1.106009,1.057627,0.500000,2.500000
6,6,0.025995,-4.791708,-0.057105,1.217349,0.500000,2.500000
7,7,3.822798,-3.862106,-0.782726,0.772903,0.500000,2.500000
0,0,4.428532,-0.094959,-1.361536,-0.193120,0.500000,2.600000
1,1,3.645553,3.422833,-0.874642,-0.891668,0.500000,2.600000
2,2,0.056186,4.037877,0.073826,-1.537699,0.500000,2.600000
3,3,-3.065818,3.472140,0.969838,-0.845945,0.500000,2.600000
4,4,-5.167917,-0.014312,1.024119,-0.124973,0.500000,2.600000
5,5,-2.999196,-2.797236,1.234883,0.983446,0.500000,2.600000
6,6,0.002113,-4.684181,-0.238813,1.075269,0.500000,2.600000
7,7,3.744690,-3.784937,-0.781075,0.771693,0.500000,2.600000
0,0,4.285797,-0.115512,-1.427342,-0.205535,0.500000,2.700000
1,1,3.562654,3.347964,-0.828990,-0.748683,0.500000,2.700000
2,2,0.078220,3.887142,0.220343,-1.507350,0.500000,2.700000
3,3,-2.981638,3.379280,0.841804,-0.928601,0.500000,2.700000
4,4,-5.068599,-0.021751,0.993180,-0.074393,0.500000,2.700000
5,5,-2.896291,-2.699002,1.029045,0.982336,0.500000,2.700000
6,6,-0.016282,-4.573490,-0.183955,1.106906,0.500000,2.700000
7,7,3.675343,-3.712851,-0.693475,0.720858,0.500000,2.700000
0,0,4.141133,-0.163968,-1.446641,-0.484562,0.500000,2.800000
1,1,3.477043,3.273809,-0.856116,-0.741552,0.500000,2.800000
2,2,0.135798,3.743243,0.575779,-1.438990,0.500000,2.800000
3,3,-2.898148,3.300013,0.834897,-0.792669,0.500000,2.800000
4,4,-4.958460,-0.022953,1.101384,-0.012016,0.500000,2.800000
5,5,-2.794721,-2.602712,1.015704,0.962901,0.500000,2.800000
6,6,-0.038548,-4.442751,-0.222654,1.307396,0.500000,2.800000
7,7,3.599468,-3.637541,-0.758743,0.753097,0.500000,2.800000
0,0,3.991845,-0.239380,-1.492878,-0.754112,0.500000,2.900000
1,1,3.403566,3.200061,-0.734767,-0.737480,0.500000,2.900000
2,2,0.178714,3.600433,0.429159,-1.428102,0.500000,2.900000
3,3,-2.852305,3.242034,0.458433,-0.579791,0.500000,2.900000
4,4,-4.852439,-0.019991,1.060210,0.029619,0.500000,2.900000
5,5,-2.675642,-2.512593,1.190789,0.901192,0.500000,2.900000
6,6,-0.065612,-4.316346,-0.270646,1.264052,0.500000,2.900000
7,7,3.519319,-3.559973,-0.801493,0.775686,0.500000,2.900000
0,0,3.842069,-0.302766,-1.497764,-0.633864,0.500000,3.000000
